claim_start_date,claim_status,condition_category,claim_id,tenure,exposure_id,claim_paid,total_claim_amount,,unique_ID,row_id,UW_Date,exposure_id,tenure,pet_gender,pet_de_sexed,pet_de_sexed_age,pet_is_switcher,nb_policy_first_inception_date,pet_age_months,nb_contribution,nb_excess,nb_address_type_adj,nb_suburb,nb_postcode,nb_state,person_dob,nb_contribution_excess,pet_age_years,owner_age_years,nb_number_of_breeds,nb_average_breed_size,nb_breed_type,nb_breed_trait,nb_breed_name_unique,nb_breed_name_unique_concat,is_multi_pet_plan,lead_date_day,quote_date,quote_time_group,exposure_id_1,row_num,earned_units,,check
27/1/2024 0:00,covered_paid,Injuries,claim_018df4c9-5282-4a57-9f96-eb6d2a476b47,1,exposure_ae169135-eb4a-4b80-a2c4-cf113ecfd291,43.22727273,134.1363636,,1exposure_ae169135-eb4a-4b80-a2c4-cf113ecfd291,1487,45292,exposure_ae169135-eb4a-4b80-a2c4-cf113ecfd291,1,male,TRUE,0-3 mo,0,45279.70833,3,100,100,Apartment,Freshwater,2096,NSW,32244,100100,0-6 months,35,1,2,unnamed cross,unknown,staffordshire bull terrier cross,staffordshire bull terrier cross,FALSE,0,45280.84871,Evening (18:00 - 23:59),exposure_ae169135-eb4a-4b80-a2c4-cf113ecfd291,1,1,,
4/4/2024 0:00,covered_paid,Other,claim_01d5532d-b73e-4e79-9653-cfddb2c46b20,1,exposure_2b665dab-0ba0-49f7-bad5-3f8e0f46221e,682.6090909,849.3636364,,1exposure_2b665dab-0ba0-49f7-bad5-3f8e0f46221e,11432,45383,exposure_2b665dab-0ba0-49f7-bad5-3f8e0f46221e,1,male,TRUE,Not Sure,0,45363.70833,17,90,100,House,Buderim,4556,QLD,25538,90100,1 years,54,1,2,purebred,collie related,border collie,border collie,FALSE,0,45363.91027,Evening (18:00 - 23:59),exposure_2b665dab-0ba0-49f7-bad5-3f8e0f46221e,1,1,,
9/7/2024 0:00,covered_paid,Ingestion,claim_01f46821-6a36-4ad5-962c-1306082afda8,8,exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,0,0,,8exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,26089,45474,exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,8,female,FALSE,0,0,45241.70833,2,80,100,House,Dee Why,2099,NSW,33584,80100,0-6 months,31,1,1,purebred,spitz related,schnauzerminiature,schnauzerminiature,FALSE,0,45242.68642,Afternoon (12:00 - 17:59),exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,1,1,,
9/7/2024 0:00,covered_paid,Eyes & ears,claim_01f46821-6a36-4ad5-962c-1306082afda8,8,exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,42.32727273,143.8181818,,8exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,26089,45474,exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,8,female,FALSE,0,0,45241.70833,2,80,100,House,Dee Why,2099,NSW,33584,80100,0-6 months,31,1,1,purebred,spitz related,schnauzerminiature,schnauzerminiature,FALSE,0,45242.68642,Afternoon (12:00 - 17:59),exposure_41255c31-2bfa-483f-b119-a89e907e3b3e,1,1,,
4/4/2024 0:00,covered_paid,Behavioral Issues,claim_0241904f-64a0-4337-91dc-b898e29cd584,4,exposure_620bc2c6-99cd-4ff2-85cf-2b8df7527a35,448.6545455,498.5090909,,4exposure_620bc2c6-99cd-4ff2-85cf-2b8df7527a35,10546,45383,exposure_620bc2c6-99cd-4ff2-85cf-2b8df7527a35,4,female,TRUE,7-12 mo,0,45285.70833,13,90,100,House,Salamander Bay,2317,NSW,27197,90100,1 years,49,2,3,cross,cross,cross,"labrador retriever cross, rhodesian ridgeback",FALSE,0,45286.49701,Morning (05:00 - 11:59),exposure_620bc2c6-99cd-4ff2-85cf-2b8df7527a35,1,1,,
25/7/2024 0:00,covered_with_exclusions_paid,Gastrointestinal Issues,claim_024246f8-1ce0-4424-aaa4-3b086e6aa99c,1,exposure_01a74ce8-7809-4a29-9706-63ebdee6e21c,304.0727273,393.6818182,,1exposure_01a74ce8-7809-4a29-9706-63ebdee6e21c,28492,45474,exposure_01a74ce8-7809-4a29-9706-63ebdee6e21c,1,male,FALSE,0,0,45448.70833,3,80,0,House,West Richmond,5033,SA,33727,800,0-6 months,32,1,3,purebred,retriever,golden retriever,golden retriever,FALSE,0,45448.80765,Evening (18:00 - 23:59),exposure_01a74ce8-7809-4a29-9706-63ebdee6e21c,1,1,,
23/3/2024 0:00,covered_paid,Injuries,claim_024d77d6-721b-4f16-8428-0f086389d7d9,4,exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,49.09090909,152.2727273,,4exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,6348,45352,exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,4,female,FALSE,0,0,45251.70833,4,80,100,House,Preston,3072,VIC,31066,80100,0-6 months,38,1,3,unnamed cross,unknown,american staffordshire terrier cross,american staffordshire terrier cross,FALSE,0,45252.9099,Evening (18:00 - 23:59),exposure_c782d1c1-d79f-4b2d-89c4-a9b06764d296,1,1,,
19/4/2024 0:00,covered_paid,Eyes & ears,claim_02998113-6ffd-44ac-a753-2044e248b5ed,5,exposure_53ba37b1-0a42-44ec-911a-2b04c7768e63,204.4454545,255.5636364,,5exposure_53ba37b1-0a42-44ec-911a-2b04c7768e63,10292,45383,exposure_53ba37b1-0a42-44ec-911a-2b04c7768e63,5,female,FALSE,0,0,45245.70833,5,80,100,House,Richmond,3121,VIC,24810,80100,0-6 months,55,1,1,designerbreed,water dog,cavoodle,cavoodle,FALSE,0,45246.53862,Afternoon (12:00 - 17:59),exposure_53ba37b1-0a42-44ec-911a-2b04c7768e63,1,1,,
2/2/2024 0:00,covered_paid,Eyes & ears,claim_02ad7ad8-dabe-408a-bbab-07be567c8107,2,exposure_97f7d01e-1404-4739-9f20-dda5b96d9da7,76.90909091,76.90909091,,2exposure_97f7d01e-1404-4739-9f20-dda5b96d9da7,4110,45323,exposure_97f7d01e-1404-4739-9f20-dda5b96d9da7,2,female,FALSE,0,0,45289.70833,2,100,100,House,Burleigh Waters,4220,QLD,29916,100100,0-6 months,42,1,2,purebred,spaniel,english cocker spaniel,english cocker spaniel,FALSE,0,45290.40526,Morning (05:00 - 11:59),exposure_97f7d01e-1404-4739-9f20-dda5b96d9da7,1,1,,
12/7/2024 0:00,covered_paid,Ortho,claim_02be4712-fc5a-4d92-acd1-908f6bb7c3bb,1,exposure_df4a37b7-f145-430c-874d-1caeaadfef07,911.3545455,1321.018182,,1exposure_df4a37b7-f145-430c-874d-1caeaadfef07,29768,45474,exposure_df4a37b7-f145-430c-874d-1caeaadfef07,1,female,FALSE,0,FALSE,45467.70833,10,80,200,House,Raceview,4305,QLD,34876,80200,7-12 months,29,1,2,purebred,collie related,border collie,border collie,FALSE,0,45468.18002,Late Night (00:00 - 04:59),exposure_df4a37b7-f145-430c-874d-1caeaadfef07,1,1,,
