Australian Bureau of Statistics,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
#REF!,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,SA4_CODE_2011,SA4_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2142,2142,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2143,2143,119,Sydney - Inner South West,0.3647352,36.4735185,,,,,,,
2143,2143,125,Sydney - Parramatta,0.6352648,63.5264815,,,,,,,
2144,2144,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2145,2145,125,Sydney - Parramatta,1.0,99.9999997,,,,,,,
2146,2146,116,Sydney - Blacktown,0.3778978,37.7897809,,,,,,,
2146,2146,125,Sydney - Parramatta,0.6221022,62.2102191,,,,,,,
2147,2147,116,Sydney - Blacktown,1.0,100.0,,,,,,,
2148,2148,116,Sydney - Blacktown,0.9999618,99.9961818,,,,,,,
2150,2150,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2151,2151,125,Sydney - Parramatta,1.0,99.9999994,,,,,,,
2152,2152,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2153,2153,115,Sydney - Baulkham Hills and Hawkesbury,0.7608347,76.083473,,,,,,,
2153,2153,116,Sydney - Blacktown,0.0167954,1.6795385,,,,,,,
2153,2153,125,Sydney - Parramatta,0.2223699,22.2369885,,,,,,,
2154,2154,115,Sydney - Baulkham Hills and Hawkesbury,1.0,100.0,,,,,,,
2155,2155,115,Sydney - Baulkham Hills and Hawkesbury,0.7997071,79.9707075,,,,,,,
2155,2155,116,Sydney - Blacktown,0.2002929,20.0292925,,,,,,,
2156,2156,115,Sydney - Baulkham Hills and Hawkesbury,1.0,100.0,,,,,,,
2157,2157,115,Sydney - Baulkham Hills and Hawkesbury,1.0,100.0,,,,,,,
2158,2158,115,Sydney - Baulkham Hills and Hawkesbury,1.0,100.0,,,,,,,
2159,2159,115,Sydney - Baulkham Hills and Hawkesbury,1.0,100.0,,,,,,,
2160,2160,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2161,2161,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2162,2162,125,Sydney - Parramatta,1.0,100.0,,,,,,,
2163,2163,119,Sydney - Inner South West,0.3611973,36.1197315,,,,,,,
2163,2163,125,Sydney - Parramatta,0.6388027,63.8802685,,,,,,,
2164,2164,125,Sydney - Parramatta,0.0728215,7.2821517,,,,,,,
2164,2164,127,Sydney - South West,0.9271785,92.717848,,,,,,,
2165,2165,125,Sydney - Parramatta,0.1279803,12.7980328,,,,,,,
2165,2165,127,Sydney - South West,0.8720197,87.2019672,,,,,,,
2166,2166,127,Sydney - South West,1.0,100.0,,,,,,,
2167,2167,123,Sydney - Outer South West,1.0,100.0,,,,,,,
2168,2168,127,Sydney - South West,1.0,100.0,,,,,,,
2170,2170,127,Sydney - South West,0.9999383,99.993828,,,,,,,
2171,2171,127,Sydney - South West,1.0,100.0,,,,,,,
2172,2172,127,Sydney - South West,0.9999997,99.9999686,,,,,,,
2173,2173,123,Sydney - Outer South West,0.0001226,0.0122557,,,,,,,
2173,2173,127,Sydney - South West,0.9998774,99.9877443,,,,,,,
2174,2174,127,Sydney - South West,1.0,100.0,,,,,,,
2175,2175,127,Sydney - South West,1.0,100.0,,,,,,,
2176,2176,127,Sydney - South West,1.0,100.0,,,,,,,
2177,2177,127,Sydney - South West,1.0,100.0,,,,,,,
2178,2178,127,Sydney - South West,1.0,100.0,,,,,,,
2179,2179,127,Sydney - South West,1.0,100.0,,,,,,,
